Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
FashionMNIST,10,cuda,1,27.506599187850952,0.0009922555246136,5.4574053853753294e-05,88.11,0.000458668219712,0.0004444307745947,8.915653030689242e-05
FashionMNIST,10,cuda,1,26.36615204811096,0.0009421820650882,5.182001357985541e-05,85.98,0.0004237803315239,0.0004329423165549,8.545941700937211e-05
FashionMNIST,10,cuda,1,26.65224480628968,0.0009574779822943,5.266128902619028e-05,87.61,0.0004290546749101,0.0004420368218913,8.638648549290328e-05
FashionMNIST,10,cuda,1,26.5194571018219,0.0009552562572702,5.2539094149864425e-05,87.52,0.0004274965519969,0.0004418033659998,8.595633927343803e-05
FashionMNIST,10,cuda,1,26.50528740882873,0.0009562878417946,5.2595831298705424e-05,87.46,0.000427231591785,0.00044314634835,8.590990165959464e-05
FashionMNIST,10,cuda,1,26.83134365081787,0.0009670131328715,5.318572230793493e-05,87.74,0.0004314781224044,0.0004485683465092,8.696666395782974e-05
FashionMNIST,10,cuda,1,27.75729894638061,0.0010025629888693,5.514096438781327e-05,87.37,0.0004471119960226,0.0004654831330183,8.996785982834297e-05
FashionMNIST,10,cuda,1,27.46101307868957,0.000990606941427,5.448338177848963e-05,87.14,0.0004409309255222,0.0004606683517836,8.900766412115814e-05
FashionMNIST,10,cuda,1,27.974531650543213,0.001016647150684,5.591559328762157e-05,87.82,0.0004574956343295,0.0004684794800889,9.06720362655299e-05
FashionMNIST,10,cuda,1,26.567678689956665,0.0009628770757862,5.295823916824498e-05,88.26,0.0004269408448857,0.0004498225925654,8.61136383351166e-05
FashionMNIST,10,cuda,1,26.86178684234619,0.0009745823336521,5.3602028350870445e-05,87.5,0.0004332762152318,0.0004542407187994,8.706539962088366e-05
FashionMNIST,10,cuda,1,27.004227876663208,0.0009767428653492,5.372085759420733e-05,88.06,0.0004356850141032,0.000453530683473,8.752716777285078e-05
FashionMNIST,10,cuda,1,27.19214701652527,0.0009987913815744,5.493352598659527e-05,86.28,0.0004479342227915,0.0004627221416155,8.8135017167374e-05
FashionMNIST,10,cuda,1,26.616236448287964,0.0009665489596507,5.3160192780792834e-05,88.29,0.0004294357710483,0.0004508436552682,8.626953333415514e-05
FashionMNIST,10,cuda,1,26.927225828170776,0.000976669561815,5.371682589982735e-05,87.26,0.0004341131747902,0.0004552792073117,8.727717971303757e-05
FashionMNIST,10,cuda,1,27.66633462905884,0.0010368551650825,5.7027034079541504e-05,88.08,0.0004778006558513,0.0004693825874796,8.967192175156356e-05
FashionMNIST,10,cuda,1,25.917447328567505,0.0009363615788308,5.149988683569727e-05,87.5,0.0004181630892524,0.000434193438052,8.400505152635682e-05
FashionMNIST,10,cuda,1,26.936569929122925,0.0009727327744466,5.350030259456499e-05,88.11,0.0004334880742901,0.0004519366990661,8.730800109028621e-05
FashionMNIST,10,cuda,1,26.11708164215088,0.0009506627119823,5.2286449159031454e-05,87.76,0.0004215945644976,0.0004444161105394,8.465203694535319e-05
FashionMNIST,10,cuda,1,28.39143443107605,0.0010277149778253,5.652432378039551e-05,87.66,0.0004570911245614,0.0004785988940751,9.202495918872291e-05
FashionMNIST,10,cuda,1,27.6075451374054,0.0010040775766466,5.522426671556664e-05,87.57,0.0004439158956879,0.0004706791809346,8.94825000239815e-05
FashionMNIST,10,cuda,1,26.29098677635193,0.0009525504492885,5.239027471087129e-05,87.92,0.0004248625504453,0.0004424722733178,8.521562552540398e-05
FashionMNIST,10,cuda,1,26.472740411758423,0.0009636374657995,5.300006061897372e-05,85.57,0.0004258016253632,0.0004520317928904,8.580404754577567e-05
FashionMNIST,10,cuda,1,27.930458068847656,0.0010112331474945,5.56178231121985e-05,87.93,0.0004483560425734,0.0004723482490444,9.05288558766616e-05
FashionMNIST,10,cuda,1,27.68743085861206,0.0010238779922126,5.631328957169547e-05,88.16,0.0004651665701885,0.0004689711555724,8.974026645172794e-05
FashionMNIST,10,cuda,1,27.08579707145691,0.0009801812435781,5.390996839679634e-05,87.62,0.0004356617021401,0.0004567280358841,8.779150555375679e-05
FashionMNIST,10,cuda,1,26.407061338424683,0.0009609529925741,5.285241459158012e-05,87.55,0.0004260843533672,0.0004492773423106,8.559129689628776e-05
FashionMNIST,10,cuda,1,27.100544929504395,0.0009811229012138,5.396175956676044e-05,87.15,0.0004369618165136,0.0004563204980002,8.784058669995659e-05
FashionMNIST,10,cuda,1,26.306788206100464,0.0009574521719269,5.265986945597997e-05,86.49,0.0004252146548936,0.0004469695432307,8.526797380250201e-05
FashionMNIST,10,cuda,1,26.91835904121399,0.0009754598858185,5.3650293720021134e-05,87.97,0.0004329448455222,0.0004552662277486,8.724881254764625e-05
FashionMNIST,10,cuda,1,26.865651607513428,0.000974303802948,5.3586709162143015e-05,87.41,0.000433446502868,0.0004537791271209,8.707817295904542e-05
FashionMNIST,10,cuda,1,25.57502245903015,0.0009243932082964,5.084162645630642e-05,87.69,0.0004123009101182,0.0004291971608734,8.289513730482356e-05
FashionMNIST,10,cuda,1,26.95828747749329,0.0009746141574532,5.360377865992642e-05,88.11,0.0004347941397794,0.0004524405492541,8.737946841958016e-05
FashionMNIST,10,cuda,1,26.509503841400143,0.0009584944984961,5.271719741728799e-05,87.37,0.0004277266030143,0.0004448444438836,8.592345159817095e-05
FashionMNIST,10,cuda,1,26.353829860687256,0.0009556357234759,5.25599647911771e-05,87.67,0.0004266042532275,0.0004436120918199,8.54193784283973e-05
FashionMNIST,10,cuda,1,27.223671197891235,0.0009904030885297,5.447216986913433e-05,87.67,0.000438709741523,0.0004634547993448,8.823854766184317e-05
