Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
CIFAR-10,10,cuda,1,22.92631637096405,0.0008199153331770821,4.509534332474227e-05,50.875299999999996,0.00036763229700277,0.00037797378337063104,7.430925280362932e-05
CIFAR-10,32,cuda,1,16.076509659290313,0.000578251500396657,3.180383252181898e-05,48.8609,0.000260062395455251,0.000266080707015304,5.210839792604726e-05
CIFAR-10,64,cuda,1,14.557929372787475,0.0005221028980614761,2.8715659393384166e-05,47.51700000000001,0.0002344470920630333,0.00024046884979681097,4.7186956201582403e-05
CIFAR-10,128,cuda,1,13.713048725128173,0.0004986756147100751,2.742715880905693e-05,49.257400000000004,0.000222968003732545,0.00023125919275652197,4.4448418220959056e-05
FashionMNIST,10,cuda,1,26.869109864234925,0.000977096630615784,5.3740314683870755e-05,87.42330000000001,0.000435580539316879,0.00045442715332895395,8.708893796989836e-05
FashionMNIST,32,cuda,1,17.28729990720749,0.000628935561281834,3.4591455870503545e-05,87.1531,0.00027650651222998096,0.000296395040851921,5.603400819987887e-05
FashionMNIST,64,cuda,1,14.609109847545623,0.0005358881626173651,2.9473848943957705e-05,86.91240000000002,0.000235289497467512,0.00025324485801826903,4.735380713153793e-05
FashionMNIST,128,cuda,1,13.466536734104157,0.000505288897229152,2.7790889347605986e-05,86.93360000000001,0.00021741954902989698,0.00024421886491210996,4.365048328709244e-05
FashionMNIST,10,cpu,1,90.17999677419662,0.0028409729352600675,0.0001562535114392593,87.45129999999997,0.002315427181790214,0.00023326025560145602,0.000292285497868292
FashionMNIST,32,cpu,1,63.2592067527771,0.002008801090213207,0.00011048405996168238,87.19170000000003,0.001636972625360336,0.000166796297685153,0.000205032167167619
FashionMNIST,64,cpu,1,67.89129299163818,0.002140917581497328,0.00011775046698230668,86.9227,0.0017427961354885247,0.00017807608917481496,0.000220045356833889
FashionMNIST,128,cpu,1,63.80521679401398,0.002001936083455259,0.00011010648458999345,86.9563,0.0016295628561380801,0.00016557016460079906,0.000206803062716274
MNIST,10,cuda,1,22.762104659080507,0.0008170388794852569,4.4937138371692156e-05,98.58030000000002,0.00036596419066551293,0.0003772965023248731,7.377818649482766e-05
MNIST,32,cuda,1,15.82652203321457,0.0005707230502667901,3.138976776467608e-05,98.5358,0.00025593443961678604,0.000263489252363702,5.1299358286260874e-05
MNIST,64,cuda,1,13.911802251338958,0.000504217497553087,2.7731962365422415e-05,98.48970000000003,0.00022474318240546398,0.00023438179960342403,4.509251554415104e-05
MNIST,128,cuda,1,13.179239943027497,0.000488287795766171,2.6855828767142054e-05,98.44509999999998,0.00021314024106478303,0.00023242875026147802,4.271880443985844e-05
MNIST,10,cpu,1,57.90025129556656,0.0018199071186203086,0.00010009489152408297,98.55949999999999,0.0014813057699880614,0.000150935898614409,0.00018766545001773396
MNIST,32,cpu,1,39.90834638595581,0.001249497133470028,6.872234234085419e-05,98.5165,0.0010161313258932481,0.0001040127330043062,0.000129353074572376
MNIST,64,cpu,1,35.67843498468399,0.001117490207188231,6.14619613953552e-05,98.49689999999997,0.0009092529220544891,9.259111715117225e-05,0.00011564616798251799
MNIST,128,cpu,1,35.61769424676895,0.0011174918413775579,6.146205127576855e-05,98.4467,0.000907604413230116,9.4443628756369e-05,0.000115443799391012
