dataset,batch_size,data_size,nbr_evaluations,measure_power_secs,device,worker,nbr_cpus,carbon,time,energy
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,5.793029666588702e-06,8.842769384384155,0.0001053278121197946
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.063237309619917e-06,2.013038396835327,1.9331587447634853e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.2685540622549303e-06,2.2499711513519287,2.3064619313726006e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.3590548165167731e-06,2.3566436767578125,2.471008757303224e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.3927652715154275e-06,2.4080259799957275,2.5323004936644136e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4350666938204063e-06,2.474452257156372,2.609212170582557e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.455995828131521e-06,2.499406099319458,2.647265142057311e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4415253556073574e-06,2.511061668395996,2.620955192013377e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4800962465699464e-06,2.5303518772125244,2.6910840846726297e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4479016023664718e-06,2.5234434604644775,2.6325483679390396e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.458817213640781e-06,2.5178823471069336,2.6523949338923292e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4394611804661541e-06,2.4897425174713135,2.6172021463020986e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4575095642477755e-06,2.501690149307251,2.65001738954141e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4596998918567824e-06,2.5163345336914062,2.653999803375968e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4388963970252855e-06,2.489924430847168,2.616175267318701e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4766232837624968e-06,2.5442750453948975,2.6847696068409033e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.469104654450287e-06,2.5174434185028076,2.6710993717277945e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4627526271494975e-06,2.625941514968872,2.6595502311809045e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4658931436102794e-06,2.5283031463623047,2.665260261109599e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4633108541292695e-06,2.5282576084136963,2.6605651893259446e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4802862271575923e-06,2.5610432624816895,2.6914295039228952e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4771664373857334e-06,2.5734329223632812,2.6857571588831517e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.459115561310422e-06,2.5919480323791504,2.6529373842007674e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4749834888571403e-06,2.558295488357544,2.683060389587476e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4575294736123467e-06,2.531026840209961,2.650053588386085e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4709438878575817e-06,2.566620111465454,2.6744434324683305e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4536062576508524e-06,2.4932312965393066,2.642920468456095e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.455017611576083e-06,2.514711380004883,2.6454865665019693e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4382981218344692e-06,2.517775058746338,2.6150874942444896e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4499958008867155e-06,2.501084089279175,2.63635600161221e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.4754696509495196e-06,2.5533394813537598,2.6826720926354903e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.5037331704763558e-06,2.630182981491089,2.7340603099570104e-05
mnist,10,1280,100,0.1,gpu,jetson-tx2-2,2.0,1.5090828894658312e-06,2.610318899154663,2.7437870717560568e-05
