Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
MNIST,10,cuda,1,22.32186532020569,0.0007902680789961,4.346474434479005e-05,98.66,0.0003598500509353,0.0003580667126742,7.235131538652088e-05
MNIST,10,cuda,1,22.85469603538513,0.0006615918558914,3.638755207402861e-05,98.64,0.0002199100778723,0.000367603800953,7.407797706603371e-05
MNIST,10,cuda,1,21.951520204544067,0.0007828813938485,4.305847666167066e-05,98.75,0.0003550403704209,0.0003566900278237,7.115099560389278e-05
MNIST,10,cuda,1,22.12699580192566,0.0007910646848671,4.350855766769148e-05,98.73,0.0003581266584455,0.0003612183885394,7.171963788216364e-05
MNIST,10,cuda,1,24.46454787254333,0.0008767875825581,4.822331704069958e-05,98.54,0.0003980526848307,0.000399438167421,7.929673030636139e-05
MNIST,10,cuda,1,21.89918351173401,0.0007885970786244,4.3372839324346526e-05,98.63,0.0003559106961172,0.0003617040822863,7.09823002209069e-05
MNIST,10,cuda,1,24.66901135444641,0.0008892805431757,4.891042987466784e-05,98.55,0.0004019845288095,0.0004073376004154,7.995841395071618e-05
MNIST,10,cuda,1,21.816739559173584,0.0007842245463076,4.313235004691997e-05,98.68,0.0003543060170556,0.0003592032072533,7.07153219985914e-05
MNIST,10,cuda,1,22.0638427734375,0.000796355892652,4.379957409586049e-05,98.39,0.0003587114928022,0.0003661294166543,7.151498319540536e-05
MNIST,10,cuda,1,21.99939346313477,0.0007913248733403,4.352286803371765e-05,98.59,0.000356666615333,0.0003633522807791,7.130597722811539e-05
MNIST,10,cuda,1,23.740394115448,0.0008521782336966,4.686980285331734e-05,98.68,0.0003843889719553,0.000390840388445,7.694887329624597e-05
MNIST,10,cuda,1,26.396482467651367,0.0009500304981301,5.225167739715743e-05,98.5,0.0004270038632694,0.0004374680780469,8.555855681373628e-05
MNIST,10,cuda,1,22.50116515159607,0.0008108902602646,4.459896431455728e-05,98.49,0.0003650920801289,0.0003728656979539,7.293248218172616e-05
MNIST,10,cuda,1,22.88441705703736,0.000825192774633,4.53856026048168e-05,98.42,0.0003706073253745,0.000380411640474,7.417380878445291e-05
MNIST,10,cuda,1,24.44973659515381,0.0008736496294264,4.805072961845625e-05,98.63,0.0003891122876784,0.0004052897381793,7.924760356869446e-05
MNIST,10,cuda,1,22.233790636062626,0.000798646327625,4.3925548019379697e-05,98.38,0.0003592986329942,0.0003672816976002,7.206599703063424e-05
MNIST,10,cuda,1,22.089539051055908,0.0007955563669308,4.3755600181195775e-05,98.42,0.0003566178380718,0.0003673402206891,7.159830816983496e-05
MNIST,10,cuda,1,22.81865286827088,0.0008219995381307,4.520997459718948e-05,98.47,0.0003680754391823,0.0003799627966286,7.396130231977196e-05
MNIST,10,cuda,1,22.290059566497803,0.0008032578585866,4.417918222226457e-05,98.71,0.000360420457225,0.0003705879805858,7.224942077571106e-05
MNIST,10,cuda,1,22.37976908683777,0.0008059947366244,4.43297105143426e-05,98.78,0.0003624516866277,0.0003710041929509,7.253885704563668e-05
