Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
MNIST,10,cpu,1,57.19461607933045,0.0018110972478142,9.961034862978393e-05,98.08,0.0014794319732668,0.0001462861531734,0.0001853791213739
MNIST,10,cpu,1,58.46297883987427,0.001863713716892,0.000102504254429,98.43,0.001521163484152,0.000153063790775,0.000189486441965
MNIST,10,cpu,1,58.118828773498535,0.0018499052593456,0.000101744789264,98.62,0.0015109456237555,0.0001505862977037,0.0001883733378863
MNIST,10,cpu,1,58.40747427940369,0.0018611346112467,0.0001023624036185,98.66,0.0015177011524932,0.0001541248969201,0.0001893085618332
MNIST,10,cpu,1,57.78381705284119,0.0018394968193964,0.0001011723250668,98.61,0.001501262260731,0.0001509492804604,0.0001872852782049
MNIST,10,cpu,1,57.94635319709778,0.0018499472342543,0.0001017470978839,98.73,0.0015108404061713,0.0001512938247823,0.0001878130033006
MNIST,10,cpu,1,57.85585403442383,0.0018385246836316,0.0001011188575997,98.62,0.0015026335654392,0.0001483724595854,0.0001875186586069
MNIST,10,cpu,1,56.26820516586304,0.0017947837102601,9.871310406430635e-05,98.67,0.0014636156222804,0.0001487928639638,0.0001823752240158
MNIST,10,cpu,1,59.273229122161865,0.0018991050372445,0.0001044507770484,98.8,0.0015409399758065,0.0001660525517394,0.0001921125096986
MNIST,10,cpu,1,58.49964189529419,0.0018564728019301,0.0001021060041061,98.7,0.0015170611828146,0.0001498025809225,0.0001896090381928
MNIST,10,cpu,1,57.449310302734375,0.0018282936915611,0.0001005561530358,98.43,0.0014935391226081,0.0001485498912016,0.0001862046777513
MNIST,10,cpu,1,58.683146476745605,0.0011167294419449,6.142011930696988e-05,98.39,0.000777877659246,0.0001486518149548,0.0001901999677439
MNIST,10,cpu,1,57.10896301269531,0.0018187231316629,0.0001000297722414,98.67,0.0014828289807066,0.0001507939226322,0.0001851002283239
MNIST,10,cpu,1,56.52610850334168,0.0018004986098844,9.902742354364318e-05,98.57,0.0014708019902517,0.0001464864002602,0.0001832102193723
MNIST,10,cpu,1,57.23001766204834,0.001822137562253,0.0001002175659239,98.6,0.0014852940676787,0.0001513510683589,0.0001854924262153
MNIST,10,cpu,1,57.52508044242859,0.0018287236905476,0.0001005798029801,98.72,0.0014932828774031,0.0001489941629314,0.000186446650213
MNIST,10,cpu,1,57.60029029846192,0.001828311554337,0.0001005571354885,98.53,0.0014941535086551,0.0001474658050537,0.0001866922406281
MNIST,10,cpu,1,58.33092188835144,0.0018592461011705,0.0001022585355643,98.8,0.0015146111514101,0.0001555745021003,0.00018906044766
MNIST,10,cpu,1,57.92718124389648,0.0018399494311326,0.0001011972187122,98.41,0.001500924702961,0.0001512747886883,0.0001877499394832
MNIST,10,cpu,1,57.710583209991455,0.0018377054948149,0.0001010738022148,98.62,0.0014980163486898,0.0001526388741601,0.0001870502719649
MNIST,10,cpu,1,56.86037492752075,0.0018130700204667,9.971885112567116e-05,98.73,0.0014814351095915,0.0001473404568682,0.0001842944540068
MNIST,10,cpu,1,58.22467637062073,0.0018550557508426,0.0001020280662963,98.65,0.0015141854827362,0.0001521541001602,0.0001887161679461
MNIST,10,cpu,1,57.578779220581055,0.0018387547395898,0.0001011315106774,98.6,0.0014970665082077,0.0001550674356738,0.0001866207957082
MNIST,10,cpu,1,57.64264917373657,0.0018358800933887,0.0001009734051363,98.55,0.0014984780279481,0.0001505707167461,0.0001868313486944
MNIST,10,cpu,1,57.63751983642578,0.0018298049421028,0.0001006392718156,98.49,0.0014954826994407,0.0001475095926511,0.000186812650011
MNIST,10,cpu,1,58.46068620681763,0.0018614609270728,0.000102380350989,98.63,0.0015220903860046,0.0001498912113719,0.0001894793296961
MNIST,10,cpu,1,59.09481835365296,0.001884187482764,0.000103630311552,98.61,0.0015316877578492,0.0001609630949467,0.0001915366299681
MNIST,10,cpu,1,57.41410040855408,0.0018311625272364,0.000100713938998,98.49,0.0014981312982263,0.0001469421828105,0.0001860890461996
